Date,Close,Shares traded
"Monday, October 9, 2017",9988.75,148395842
"Tuesday, October 10, 2017",10016.95,153246570
"Wednesday, October 11, 2017",9984.8,195593061
"Thursday, October 12, 2017",10096.4,207106672
"Friday, October 13, 2017",10167.45,237230047
"Monday, October 16, 2017",10230.85,209327364
"Tuesday, October 17, 2017",10234.45,201782377
"Wednesday, October 18, 2017",10210.85,262111790
"Thursday, October 19, 2017",10146.55,31086379
"Monday, October 23, 2017",10184.85,224799211
"Tuesday, October 24, 2017",10207.7,223914325
"Wednesday, October 25, 2017",10295.35,612620774
"Thursday, October 26, 2017",10343.8,443036008
"Friday, October 27, 2017",10323.05,322411410
"Monday, October 30, 2017",10363.65,244193178
"Tuesday, October 31, 2017",10335.3,239809700
"Wednesday, November 1, 2017",10440.5,268270466
"Thursday, November 2, 2017",10423.8,207735021
"Friday, November 3, 2017",10452.5,206101238
"Monday, November 6, 2017",10451.8,199559409
"Tuesday, November 7, 2017",10350.15,295830692
"Wednesday, November 8, 2017",10303.15,282950322
"Thursday, November 9, 2017",10308.95,247606613
"Friday, November 10, 2017",10321.75,287962940
"Monday, November 13, 2017",10224.95,216799588
"Tuesday, November 14, 2017",10186.6,314413476
"Wednesday, November 15, 2017",10118.05,213836202
"Thursday, November 16, 2017",10214.75,188180035
"Friday, November 17, 2017",10283.6,209592893
"Monday, November 20, 2017",10298.75,151751415
"Tuesday, November 21, 2017",10326.9,191859084
"Wednesday, November 22, 2017",10342.3,162504058
"Thursday, November 23, 2017",10348.75,157651842
"Friday, November 24, 2017",10389.7,133177324
"Monday, November 27, 2017",10399.55,146276512
"Tuesday, November 28, 2017",10370.25,202050866
"Wednesday, November 29, 2017",10361.3,157192930
"Thursday, November 30, 2017",10226.55,353105240
"Friday, December 1, 2017",10121.8,147765528
"Monday, December 4, 2017",10127.75,153240126
"Tuesday, December 5, 2017",10118.25,160253042
"Wednesday, December 6, 2017",10044.1,171208366
"Thursday, December 7, 2017",10166.7,171339022
"Friday, December 8, 2017",10265.65,206234019
"Monday, December 11, 2017",10322.25,152034656
"Tuesday, December 12, 2017",10240.15,180546894
"Wednesday, December 13, 2017",10192.95,187191964
"Thursday, December 14, 2017",10252.1,159103960
"Friday, December 15, 2017",10333.25,262974703
"Monday, December 18, 2017",10388.75,237506982
"Tuesday, December 19, 2017",10463.2,174340665
"Wednesday, December 20, 2017",10444.2,180597460
"Thursday, December 21, 2017",10440.3,156646972
"Friday, December 22, 2017",10493,143119167
"Tuesday, December 26, 2017",10531.5,160417384
"Wednesday, December 27, 2017",10490.75,170307122
"Thursday, December 28, 2017",10477.9,281309989
"Friday, December 29, 2017",10530.7,156736221
"Monday, January 1, 2018",10435.55,134532090
"Tuesday, January 2, 2018",10442.2,158092430
"Wednesday, January 3, 2018",10443.2,172516859
"Thursday, January 4, 2018",10504.8,180257392
"Friday, January 5, 2018",10558.85,186469717
"Monday, January 8, 2018",10623.6,174181231
"Tuesday, January 9, 2018",10637,211291563
"Wednesday, January 10, 2018",10632.2,181900014
"Thursday, January 11, 2018",10651.2,158630055
"Friday, January 12, 2018",10681.25,180592153
"Monday, January 15, 2018",10741.55,181262074
"Tuesday, January 16, 2018",10700.45,217468081
"Wednesday, January 17, 2018",10788.55,260488465
"Thursday, January 18, 2018",10817,321609375
"Friday, January 19, 2018",10894.7,214011963
"Monday, January 22, 2018",10966.2,238815813
